kode_uker,nitku_suffix
1,000166
2,000344
3,000669
4,000174
5,000227
6,000016
7,000470
8,000389
9,000324
10,000066
11,000015
12,000523
13,000654
14,000061
15,000195
16,000062
17,000300
18,000133
19,000289
20,000149
21,000469
22,000428
23,000521
24,000285
25,000005
26,000406
27,000204
28,000526
29,000181
30,000441
31,000461
32,000171
33,000698
34,000053
35,000357
36,000205
38,000059
39,000380
40,000390
41,000007
44,000524
45,000011
46,000519
47,000120
48,000355
49,000013
50,000689
51,000434
52,000383
53,000333
54,000206
55,000522
56,000625
57,000012
58,000152
59,000313
60,000514
61,000407
62,000691
63,000388
64,000442
65,000465
66,000667
67,000671
68,000052
69,000613
70,000014
71,000198
72,000218
73,000528
74,000173
75,000423
76,000064
77,000615
78,000086
79,000385
80,000235
81,000058
82,000147
83,000690
84,000260
85,000480
86,000230
88,000436
89,000662
90,000466
91,000106
92,000424
93,000382
94,000004
95,000408
96,000353
97,000256
98,000337
99,000472
100,000421
101,000634
102,000087
103,000202
104,000653
105,000001
106,000674
107,000499
108,000608
109,000076
110,000467
111,000446
112,000672
113,000540
114,000192
115,000720
116,000706
117,000692
118,000448
119,000659
120,000303
121,000310
122,000099
123,000532
124,000301
125,000026
126,000556
127,000252
128,000438
129,000240
130,000117
131,000440
132,000002
133,000518
134,000354
135,000535
136,000085
137,000708
138,000693
139,000035
140,000088
141,000716
142,000429
143,000463
144,000484
146,000507
147,000040
148,000017
149,000290
150,000342
151,000179
152,000291
153,000628
154,000694
155,000340
156,000409
157,000184
158,000176
159,000345
160,000197
161,000422
162,000392
163,000253
164,000616
165,000710
166,000257
167,000516
168,000564
169,000113
170,000349
171,000209
172,000511
173,000172
174,000343
175,000215
176,000481
177,000468
179,000482
180,000505
181,000425
182,000175
183,000276
184,000439
185,000358
186,000105
187,000614
188,000258
189,000211
190,000060
191,000185
192,000241
193,000633
194,000485
195,000447
196,000304
197,000098
198,000229
199,000145
200,000312
201,000331
202,000305
203,000687
204,000297
205,000151
206,000000
207,000109
208,000647
209,000042
210,000462
211,000510
212,000083
213,000183
214,000323
215,000065
216,000118
217,000547
218,000339
219,000443
220,000444
221,000445
222,000618
223,000122
224,000121
225,000550
226,000673
227,000200
228,000479
230,000293
231,000707
232,000249
233,000630
235,000675
236,000292
237,000563
238,000073
239,000496
240,000552
241,000718
242,000497
243,000513
244,000298
245,000051
246,000379
247,000620
248,000666
249,000041
250,000551
251,000049
252,000553
253,000114
254,000665
256,000112
257,000338
258,000115
259,000119
260,000167
261,000138
262,000084
266,000009
267,000712
268,000213
269,000196
270,000156
271,000108
272,000384
273,000284
274,000286
275,000703
276,000686
277,000381
278,000287
279,000203
280,000623
281,000730
282,000544
283,000474
284,000212
285,000697
286,000619
288,000332
289,000611
290,000397
291,000144
292,000226
294,000103
296,000509
297,000191
298,000306
299,000207
300,000731
302,000413
303,000043
304,000110
305,000111
306,000325
307,000685
308,000221
309,000222
310,000129
311,000163
312,000606
314,000473
315,000150
317,000231
318,000554
319,000414
320,000170
321,000157
322,000387
323,000483
324,000657
325,000056
326,000548
327,000411
328,000621
329,000101
330,000705
331,000334
332,000295
333,000471
334,000255
335,000632
336,000622
337,000225
338,000134
339,000139
340,000141
341,000360
342,000402
343,000307
344,000433
345,000294
346,000142
347,000155
348,000627
349,000048
350,000668
351,000713
352,000219
353,000719
354,000224
355,000391
356,000136
357,000116
358,000335
359,000100
360,000362
361,000104
362,000715
363,000515
365,000631
367,000330
368,000190
376,000308
377,000430
378,000063
379,000431
382,000234
384,000415
385,000416
386,000180
387,000039
389,000265
390,000309
393,000233
394,000320
395,000262
396,000232
397,000140
398,000038
399,000629
401,000512
403,000395
404,000271
405,000427
406,000506
407,000266
408,000728
409,000492
410,000394
411,000721
412,000321
415,000557
416,000652
417,000393
418,000327
419,000561
420,000263
421,000237
422,000420
423,000729
424,000612
425,000701
426,000559
428,000558
429,000400
430,000268
434,000562
435,000534
437,000670
438,000319
439,000314
440,000318
441,000315
442,000316
443,000317
444,000328
445,000329
446,000165
448,000127
449,000580
451,000607
503,000336
509,000646
511,000527
516,000565
538,000029
544,000068
553,000010
555,000569
556,000435
560,000210
561,000220
563,000386
566,000722
569,000595
572,000711
573,000604
577,000593
579,000573
583,000714
584,000495
587,000361
590,000405
603,000044
604,000186
605,000341
606,000601
607,000587
609,000003
615,000194
616,000107
618,000546
619,000572
620,000578
621,000594
622,000208
623,000187
626,000598
627,000278
630,000273
633,000077
636,000590
637,000571
638,000072
641,000250
642,000398
643,000126
646,000242
648,000542
661,000037
666,000549
668,000216
669,000154
671,000160
684,000570
687,000656
696,000125
850,000364
851,000396
853,000603
854,000401
855,000124
856,000161
857,000162
858,000267
859,000188
1057,000723
1059,000725
1063,000269
1079,000123
1080,000688
1081,000130
1082,000164
1097,000529
1099,000214
1101,000602
1112,000724
1114,000589
1127,000464
1144,000579
1145,000158
1156,000500
1162,000592
1190,000709
1223,000702
2003,000322
2025,000681
2062,000478
2101,000159
